BLS Job Title,LONG_OCC_CODE,Percentage with AA Degree or Less,Percentage with BA Degree or More,Total Employment (National),Mean Annual Wage (National),Annual Wage 10th Pct (National),Annual Wage 25th Pct (National),Median Annual Wage (National),Annual Wage 75th Pct (National),Annual Wage 90th Pct (National),Typical education needed for entry,Work experience in a related occupation,Non-Entry Level,BA Entry Level,Middle Skilled,Low Wage
Technical Recruiter,13-1071.91,37.3,62.7,633040.0,67760.0,37180.0,47450.0,61920.0,81430.0,105930.0,Bachelor's degree,None,False,True,False,False
Training and Development Specialist,13-1151.00,44.1,55.9,312450.0,65640.0,32680.0,44680.0,61210.0,81290.0,104200.0,Bachelor's degree,Less than 5 years,False,True,False,False
Cargo Coordinator / Freight Forwarder,43-5011.00,80.8,19.2,95810.0,46770.0,26780.0,34080.0,43740.0,55940.0,69040.0,High school diploma or equivalent,None,False,False,True,False
Event Marketing Specialist,13-1161.00,19.6,80.4,678500.0,71570.0,34350.0,46800.0,63790.0,89580.0,122630.0,Bachelor's degree,None,False,True,False,False
Telemarketer,41-9041.00,77.9,22.0,134800.0,29770.0,19170.0,22170.0,26290.0,33960.0,44480.0,No formal educational credential,None,False,False,True,False
Account Representative,13-2011.94,19.7,80.10000000000002,1280700.0,79520.0,44480.0,55900.0,71550.0,94340.0,124450.0,Bachelor's degree,None,False,True,False,False
Surgical Technician / Technologist,29-2055.00,78.2,21.7,109000.0,50110.0,33420.0,39760.0,48300.0,59320.0,71400.0,Postsecondary nondegree award,None,False,False,True,False
Payroll Clerk,43-3051.00,76.5,23.5,142700.0,47390.0,30320.0,37000.0,46180.0,57030.0,66210.0,High school diploma or equivalent,None,False,False,True,False
Product Demonstrator,41-9011.00,75.4,24.8,77760.0,35320.0,21750.0,25230.0,30930.0,41880.0,54490.0,No formal educational credential,None,False,False,True,False
Automotive General Manager,11-1021.92,54.1,45.9,2400280.0,123030.0,45050.0,65660.0,100780.0,157430.0,,Bachelor's degree,5 years or more,True,False,False,False
Auto Damage Appraiser,13-1032.00,51.8,48.1,13750.0,66240.0,44430.0,53430.0,63270.0,77810.0,93720.0,Postsecondary nondegree award,None,False,False,True,False
Medical Secretary,43-6013.00,75.8,24.000000000000004,604780.0,38090.0,26180.0,30590.0,36580.0,44650.0,53230.0,High school diploma or equivalent,None,False,False,True,False
Insurance Customer Service Representative,43-4051.00,73.39999999999998,26.7,2919230.0,37320.0,22980.0,27630.0,34710.0,43980.0,56380.0,High school diploma or equivalent,None,False,False,True,False
