BLS Job Title,LONG_OCC_CODE,Percentage with AA Degree or Less,Percentage with BA Degree or More,Total Employment (National),Mean Annual Wage (National),Annual Wage 10th Pct (National),Annual Wage 25th Pct (National),Median Annual Wage (National),Annual Wage 75th Pct (National),Annual Wage 90th Pct (National),Typical education needed for entry,Work experience in a related occupation,Non-Entry Level,BA Entry Level,Middle Skilled,Low Wage
Accounting Analyst,13-2051.00,12.7,87.2,,,,,,,,Bachelor's degree,None,False,True,False,False
Computer Support Specialist,15-1151.00,51.5,48.4,,,,,,,,"Some college, no degree",None,False,False,True,False
Configuration Analyst / Specialist,15-1121.00,25.7,74.3,,,,,,,,Bachelor's degree,None,False,True,False,False
SAS Programmer,15-1131.91,25.7,74.3,,,,,,,,Bachelor's degree,None,False,True,False,False
Marketing Communications Manager,11-2031.91,11.5,88.5,,,,,,,,Bachelor's degree,5 years or more,True,False,False,False
PHP Developer,15-1131.00,25.7,74.3,,,,,,,,Bachelor's degree,None,False,True,False,False
Technical Support Engineer / Analyst,15-1199.00,43.8,56.4,,,,,,,,Bachelor's degree,None,False,True,False,False
Technical Support Engineer / Analyst,15-1199.02,43.8,56.4,,,,,,,,Bachelor's degree,None,False,True,False,False
Technical Support Engineer / Analyst,15-1151.00,51.5,48.4,,,,,,,,"Some college, no degree",None,False,False,True,False
Vulnerability Analyst / Penetration Tester,15-1121.00,25.7,74.3,,,,,,,,Bachelor's degree,None,False,True,False,False
Automation Engineer,15-1199.02,43.8,56.4,,,,,,,,Bachelor's degree,None,False,True,False,False
Business / Systems Analyst,15-1121.00,25.7,74.3,,,,,,,,Bachelor's degree,None,False,True,False,False
Business Intelligence Developer / Architect,15-1199.94,43.8,56.4,,,,,,,,Bachelor's degree,None,False,True,False,False
Database Administrator,15-1141.00,27.7,72.3,,,,,,,,Bachelor's degree,None,False,True,False,False
Help Desk Technician / Analyst,15-1121.00,25.7,74.3,,,,,,,,Bachelor's degree,None,False,True,False,False
Help Desk Technician / Analyst,15-1151.00,51.5,48.4,,,,,,,,"Some college, no degree",None,False,False,True,False
Safety Specialist,29-9012.00,34.8,65.1,,,,,,,,High school diploma or equivalent,None,False,True,False,False
Senior Java Developer / Engineer,15-1131.00,25.7,74.3,,,,,,,,Bachelor's degree,None,False,True,False,False
Buyer (General),13-1021.00,,,,,,,,,,,,False,False,True,False
Reporter,27-3021.00,13.9,86.1,,,,,,,,Bachelor's degree,None,False,True,False,False
Security Manager,11-9199.07,42.2,57.7,,,,,,,,Bachelor's degree,Less than 5 years,False,True,False,False
Stocker,43-5081.01,89.0,11.1,,,,,,,,High school diploma or equivalent,None,False,False,False,True
Golf Course Worker,27-2021.91,38.4,61.6,11330.0,93140.0,19280.0,25770.0,51370.0,109920.0,,No formal educational credential,None,False,True,False,False
E-Commerce Specialist,13-1199.06,35.5,64.6,,,,,,,,Bachelor's degree,None,False,True,False,False
Education Program Manager,11-9199.00,42.2,57.7,,,,,,,,Bachelor's degree,Less than 5 years,False,True,False,False
Purchasing Manager,11-9199.96,42.2,57.7,,,,,,,,Bachelor's degree,Less than 5 years,False,True,False,False
User Interface / User Experience (UI / UX) Designer,15-1134.93,30.8,69.3,,,,,,,,Associate's degree,None,False,True,False,False
Pet Care Worker / Manager,39-1021.92,72.2,27.8,,,,,,,,High school diploma or equivalent,Less than 5 years,False,False,True,False
Logging Worker / Supervisor,45-1011.05,86.0,14.0,22560.0,52520.0,30130.0,36940.0,48280.0,64000.0,80950.0,High school diploma or equivalent,Less than 5 years,False,False,True,False
Loss Prevention / Asset Protection Specialist,33-1099.00,64.5,35.6,,,,,,,,High school diploma or equivalent,Less than 5 years,False,False,False,True
Van / Taxi / Shuttle Driver,53-3041.00,79.6,20.4,,,,,,,,No formal educational credential,None,False,False,False,True
Systems Support Specialist,15-1151.00,51.5,48.4,,,,,,,,"Some college, no degree",None,False,False,True,False
Nursing Assistant,31-1014.00,90.5,9.5,,,,,,,,Postsecondary nondegree award,None,False,False,True,False
Power Distributor / Plant Operator,51-8012.00,78.6,21.4,10770.0,88910.0,56360.0,72540.0,90700.0,104140.0,122380.0,High school diploma or equivalent,None,False,False,True,False
Warehouse / Distribution Supervisor,53-1021.00,,,,,,,,,,,,False,False,True,False
Barista,35-3022.01,88.8,11.1,,,,,,,,No formal educational credential,None,False,False,False,True
Makeup Artist,39-5091.00,88.0,12.0,3400.0,81600.0,23920.0,38250.0,75730.0,118560.0,145420.0,Postsecondary nondegree award,None,False,False,False,True
Esthetician,39-5094.00,88.0,12.0,56660.0,38970.0,20500.0,25220.0,34090.0,46770.0,62540.0,Postsecondary nondegree award,None,False,False,False,True
General Engineering Technician / Technologist,17-3029.02,79.6,20.3,,,,,,,,Associate's degree,None,False,False,True,False
Manufacturing / Production Technician,17-3029.09,79.6,20.3,,,,,,,,Associate's degree,None,False,False,True,False
Environmental Technician,19-4091.91,51.3,48.6,,,,,,,,Associate's degree,None,False,False,True,False
IT Specialist / Engineer,15-1151.00,51.5,48.4,,,,,,,,"Some college, no degree",None,False,False,True,False
Inventory Associate,43-5081.00,89.0,11.1,,,,,,,,High school diploma or equivalent,None,False,False,False,True
Sustainability Specialist,13-1199.05,35.5,64.6,,,,,,,,Bachelor's degree,None,False,True,False,False
Assistant Project Manager,15-1199.09,43.8,56.4,,,,,,,,Bachelor's degree,None,False,True,False,False
EMT / Paramedic,29-2041.00,80.3,19.6,,,,,,,,Postsecondary nondegree award,None,False,False,True,False
Systems Administrator,15-1142.00,43.9,56.1,,,,,,,,Bachelor's degree,None,False,True,False,False
Project Controls Manager,15-1199.09,43.8,56.4,,,,,,,,Bachelor's degree,None,False,True,False,False
Environmental Health and Safety (EHS) Coordinator,29-9012.00,34.8,65.1,,,,,,,,High school diploma or equivalent,None,False,True,False,False
Facilities Manager,11-3011.91,56.9,43.0,,,,,,,,Bachelor's degree,Less than 5 years,False,False,True,False
Web Developer,15-1134.92,30.8,69.3,,,,,,,,Associate's degree,None,False,True,False,False
Flooring Installer,47-2042.00,96.0,4.0,16290.0,48610.0,26740.0,33170.0,44240.0,60600.0,78370.0,No formal educational credential,None,False,False,False,True
Property Appraiser / Assessor,13-2021.00,44.6,55.4,,,,,,,,Bachelor's degree,None,False,True,False,False
Healthcare Program Manager,11-9199.00,42.2,57.7,,,,,,,,Bachelor's degree,Less than 5 years,False,True,False,False
IT Administrator,15-1151.00,51.5,48.4,,,,,,,,"Some college, no degree",None,False,False,True,False
Policy Analyst,19-3094.00,13.9,86.1,6010.0,120260.0,60960.0,87990.0,122220.0,148960.0,164210.0,Master's degree,None,False,True,False,False
Senior .NET Developer / Engineer,15-1131.00,25.7,74.3,,,,,,,,Bachelor's degree,None,False,True,False,False
Treasury Analyst,13-2051.00,12.7,87.2,,,,,,,,Bachelor's degree,None,False,True,False,False
Occupational Health and Safety (OHS) Specialist,29-9012.00,34.8,65.1,,,,,,,,High school diploma or equivalent,None,False,True,False,False
Lawn Care / Pesticide Technician,37-3012.00,92.1,7.8,25780.0,39230.0,25020.0,29570.0,35840.0,43310.0,57350.0,High school diploma or equivalent,None,False,False,True,False
Coating / Industrial Painter,51-9121.00,96.8,3.2,,,,,,,,High school diploma or equivalent,None,False,False,False,True
Occupational Health and Safety (OHS) Manager,29-9011.00,34.8,65.1,,,,,,,,Bachelor's degree,None,False,True,False,False
Home Appliance Repairer,49-9031.00,92.5,7.4,31100.0,42400.0,24500.0,31450.0,40260.0,51450.0,62770.0,High school diploma or equivalent,None,False,False,True,False
Medical Technologist,29-2011.00,,,,,,,,,,,,False,False,True,False
Cyber Security Analyst,13-1199.02,35.5,64.6,,,,,,,,Bachelor's degree,None,False,True,False,False
Cyber Security Analyst,15-1122.00,33.1,67.1,,,,,,,,Bachelor's degree,Less than 5 years,False,True,False,False
Facilities Specialist / Coordinator,11-3011.91,56.9,43.0,,,,,,,,Bachelor's degree,Less than 5 years,False,False,True,False
Network Administrator,15-1142.00,43.9,56.1,,,,,,,,Bachelor's degree,None,False,True,False,False
Procurement / Sourcing Manager,11-9199.96,42.2,57.7,,,,,,,,Bachelor's degree,Less than 5 years,False,True,False,False
Procurement / Sourcing Specialist,13-1021.00,,,,,,,,,,,,False,False,True,False
Senior Data Scientist,15-1111.91,6.3,93.8,,,,,,,,Master's degree,None,False,True,False,False
Senior Software Developer / Engineer,15-1131.00,25.7,74.3,,,,,,,,Bachelor's degree,None,False,True,False,False
Communications Director,11-2031.91,11.5,88.5,,,,,,,,Bachelor's degree,5 years or more,True,False,False,False
Teacher Assistant,25-9041.00,73.1,26.9,,,,,,,,"Some college, no degree",None,False,False,True,False
Industrial-Organizational Psychologist,19-3032.00,0.0,100.0,630.0,111150.0,51080.0,61380.0,92880.0,148170.0,197700.0,Master's degree,None,False,True,False,False
Contracts Manager,13-1023.91,,,,,,,,,,,,False,False,True,False
GIS Analyst,15-1199.04,43.8,56.4,,,,,,,,Bachelor's degree,None,False,True,False,False
Application Manager,15-1199.95,43.8,56.4,,,,,,,,Bachelor's degree,None,False,True,False,False
Family / Behavioral Therapist,21-1013.00,18.8,81.2,59050.0,54590.0,32070.0,37740.0,49610.0,64630.0,87700.0,Master's degree,None,False,True,False,False
Risk Analyst,13-2099.02,42.1,58.0,,,,,,,,Bachelor's degree,None,False,True,False,False
Search Engine Optimization Specialist,15-1199.10,43.8,56.4,,,,,,,,Bachelor's degree,None,False,True,False,False
Technical Project Manager,15-1199.95,43.8,56.4,,,,,,,,Bachelor's degree,None,False,True,False,False
Human Resources Analyst,13-1071.92,37.3,62.7,633040.0,67760.0,37180.0,47450.0,61920.0,81430.0,105930.0,Bachelor's degree,None,False,True,False,False
Human Resources Manager,11-3121.92,40.8,59.2,154800.0,129570.0,68300.0,88150.0,116720.0,156560.0,205720.0,Bachelor's degree,5 years or more,True,False,False,False
Payroll Analyst,43-3051.00,76.5,23.5,142700.0,47390.0,30320.0,37000.0,46180.0,57030.0,66210.0,High school diploma or equivalent,None,False,False,True,False
Business Development Specialist,41-4011.00,51.0,49.0,306980.0,92980.0,41080.0,57050.0,81020.0,117560.0,158580.0,Bachelor's degree,None,False,False,True,False
Director of Business Development,11-2022.00,30.3,69.8,402600.0,141690.0,59810.0,85150.0,126640.0,177830.0,,Bachelor's degree,Less than 5 years,False,True,False,False
Financial Manager (General),11-3031.00,35.80000000000001,64.2,654790.0,147530.0,68370.0,92310.0,129890.0,181980.0,,Bachelor's degree,5 years or more,True,False,False,False
Account Executive (General),43-6011.92,75.8,24.000000000000004,542690.0,62920.0,37890.0,48020.0,60890.0,75820.0,91330.0,High school diploma or equivalent,Less than 5 years,False,False,True,False
Account Manager,13-2011.94,19.7,80.10000000000002,1280700.0,79520.0,44480.0,55900.0,71550.0,94340.0,124450.0,Bachelor's degree,None,False,True,False,False
Business to Business (B2B) Sales Representative,41-4011.00,51.0,49.0,306980.0,92980.0,41080.0,57050.0,81020.0,117560.0,158580.0,Bachelor's degree,None,False,False,True,False
Financial Consultant,13-2052.00,19.5,80.5,210190.0,119290.0,42950.0,57780.0,87850.0,154480.0,,Bachelor's degree,None,False,True,False,False
General Manager,11-1021.92,54.1,45.9,2400280.0,123030.0,45050.0,65660.0,100780.0,157430.0,,Bachelor's degree,5 years or more,True,False,False,False
Inside Sales Account Executive,43-6011.92,75.8,24.000000000000004,542690.0,62920.0,37890.0,48020.0,60890.0,75820.0,91330.0,High school diploma or equivalent,Less than 5 years,False,False,True,False
Retail Sales Associate (General),41-2031.00,73.7,26.3,4317950.0,29360.0,18900.0,21780.0,25250.0,31480.0,42780.0,No formal educational credential,None,False,False,False,True
Sales Representative,41-4011.00,51.0,49.0,306980.0,92980.0,41080.0,57050.0,81020.0,117560.0,158580.0,Bachelor's degree,None,False,False,True,False
Territory / Regional Sales Manager,11-2022.00,30.3,69.8,402600.0,141690.0,59810.0,85150.0,126640.0,177830.0,,Bachelor's degree,Less than 5 years,False,True,False,False
Auditor (General),13-2011.02,19.7,80.10000000000002,1280700.0,79520.0,44480.0,55900.0,71550.0,94340.0,124450.0,Bachelor's degree,None,False,True,False,False
Business Development Manager,11-2022.00,30.3,69.8,402600.0,141690.0,59810.0,85150.0,126640.0,177830.0,,Bachelor's degree,Less than 5 years,False,True,False,False
Customer Service Representative (General),43-4051.00,73.39999999999998,26.7,2919230.0,37320.0,22980.0,27630.0,34710.0,43980.0,56380.0,High school diploma or equivalent,None,False,False,False,True
Healthcare Sales Representative,41-4011.91,51.0,49.0,306980.0,92980.0,41080.0,57050.0,81020.0,117560.0,158580.0,Bachelor's degree,None,False,False,True,False
Petroleum Engineer,17-2171.00,17.4,82.7,32620.0,156780.0,79270.0,107020.0,137720.0,193430.0,,Bachelor's degree,None,False,True,False,False
Client Service Representative / Associate,43-4051.00,73.39999999999998,26.7,2919230.0,37320.0,22980.0,27630.0,34710.0,43980.0,56380.0,High school diploma or equivalent,None,False,False,True,False
Sales Support Assistant,41-9099.91,53.0,47.0,118910.0,40620.0,21650.0,24740.0,31820.0,47530.0,69940.0,High school diploma or equivalent,None,False,False,True,False
Sales Support Specialist,41-4011.00,51.0,49.0,306980.0,92980.0,41080.0,57050.0,81020.0,117560.0,158580.0,Bachelor's degree,None,False,False,True,False
Brand Manager,11-2021.91,30.3,69.8,263680.0,149200.0,71010.0,97710.0,136850.0,185320.0,,Bachelor's degree,5 years or more,True,False,False,False
Marketing Automation Specialist,13-1161.00,19.6,80.4,678500.0,71570.0,34350.0,46800.0,63790.0,89580.0,122630.0,Bachelor's degree,None,False,True,False,False
Vice President (General),11-1021.92,54.1,45.9,2400280.0,123030.0,45050.0,65660.0,100780.0,157430.0,,Bachelor's degree,5 years or more,True,False,False,False
Business Analyst (General),13-1111.00,22.1,77.89999999999998,709750.0,95560.0,49700.0,64060.0,85260.0,113770.0,154310.0,Bachelor's degree,Less than 5 years,False,True,False,False
Call Center Representative,43-4051.00,73.39999999999998,26.7,2919230.0,37320.0,22980.0,27630.0,34710.0,43980.0,56380.0,High school diploma or equivalent,None,False,False,True,False
Consulting Sales Manager,11-2022.00,30.3,69.8,402600.0,141690.0,59810.0,85150.0,126640.0,177830.0,,Bachelor's degree,Less than 5 years,False,True,False,False
IT Director,11-3021.00,25.8,74.1,433960.0,156390.0,87480.0,113110.0,146360.0,185610.0,,Bachelor's degree,5 years or more,True,False,False,False
Maintenance Service Manager,49-1011.00,85.39999999999998,14.6,485700.0,70550.0,40880.0,52300.0,67460.0,85960.0,105810.0,High school diploma or equivalent,Less than 5 years,False,False,True,False
Health Educator,21-1091.00,44.8,55.3,58590.0,60500.0,32890.0,40970.0,55220.0,75050.0,98680.0,Bachelor's degree,None,False,True,False,False
Payroll Specialist (General),43-3051.00,76.5,23.5,142700.0,47390.0,30320.0,37000.0,46180.0,57030.0,66210.0,High school diploma or equivalent,None,False,False,True,False
Recruiter (General),13-1071.91,37.3,62.7,633040.0,67760.0,37180.0,47450.0,61920.0,81430.0,105930.0,Bachelor's degree,None,False,True,False,False
Compensation / Benefits Specialist,13-1141.00,45.6,54.5,89300.0,69840.0,40140.0,50000.0,64560.0,82920.0,105600.0,Bachelor's degree,Less than 5 years,False,True,False,False
Program Analyst,13-1111.00,22.1,77.89999999999998,709750.0,95560.0,49700.0,64060.0,85260.0,113770.0,154310.0,Bachelor's degree,Less than 5 years,False,True,False,False
Human Resources Specialist,13-1071.92,37.3,62.7,633040.0,67760.0,37180.0,47450.0,61920.0,81430.0,105930.0,Bachelor's degree,None,False,True,False,False
Office Manager (General),43-1011.91,63.8,36.1,1487870.0,60130.0,34290.0,43360.0,56620.0,72480.0,91570.0,High school diploma or equivalent,Less than 5 years,False,False,True,False
Restaurant / Food Service Supervisor,35-1012.00,85.4,14.7,1011100.0,36960.0,22420.0,26610.0,33400.0,44910.0,57990.0,High school diploma or equivalent,Less than 5 years,False,False,True,False
Business / Management Consultant,13-1111.00,22.1,77.89999999999998,709750.0,95560.0,49700.0,64060.0,85260.0,113770.0,154310.0,Bachelor's degree,Less than 5 years,False,True,False,False
Civil Engineer,17-2051.00,13.000000000000002,87.0,310850.0,94360.0,55380.0,68130.0,87060.0,113580.0,144560.0,Bachelor's degree,None,False,True,False,False
Director of Product Management,11-2021.92,30.3,69.8,263680.0,149200.0,71010.0,97710.0,136850.0,185320.0,,Bachelor's degree,5 years or more,True,False,False,False
Compensation / Benefits Manager,11-3111.00,32.3,67.6,16900.0,134210.0,69870.0,91430.0,122270.0,163980.0,,Bachelor's degree,5 years or more,True,False,False,False
Executive Assistant,43-6011.91,75.8,24.000000000000004,542690.0,62920.0,37890.0,48020.0,60890.0,75820.0,91330.0,High school diploma or equivalent,Less than 5 years,False,False,True,False
Logistician,13-1081.00,55.8,44.4,182050.0,78680.0,44020.0,57080.0,74750.0,96240.0,120400.0,Bachelor's degree,None,False,False,True,False
Office / Administrative Assistant,43-6014.00,75.8,24.000000000000004,2038340.0,39180.0,24250.0,30100.0,37690.0,47510.0,57570.0,High school diploma or equivalent,None,False,False,False,True
Operations Supervisor,11-1021.91,54.1,45.9,2400280.0,123030.0,45050.0,65660.0,100780.0,157430.0,,Bachelor's degree,5 years or more,True,False,False,False
Product Manager,11-2021.92,30.3,69.8,263680.0,149200.0,71010.0,97710.0,136850.0,185320.0,,Bachelor's degree,5 years or more,True,False,False,False
Recruiting Manager,11-3121.91,40.8,59.2,154800.0,129570.0,68300.0,88150.0,116720.0,156560.0,205720.0,Bachelor's degree,5 years or more,True,False,False,False
Software Product Manager,11-2021.92,30.3,69.8,263680.0,149200.0,71010.0,97710.0,136850.0,185320.0,,Bachelor's degree,5 years or more,True,False,False,False
Writer,27-3043.91,17.5,82.5,45860.0,73860.0,33660.0,46640.0,63200.0,87110.0,122450.0,Bachelor's degree,None,False,True,False,False
Architect,17-1011.00,8.0,91.8,105850.0,89560.0,48700.0,62600.0,80750.0,105600.0,137620.0,Bachelor's degree,None,False,True,False,False
Brokerage Clerk,43-4011.91,52.7,47.3,47990.0,55190.0,35600.0,43490.0,52750.0,63770.0,78160.0,High school diploma or equivalent,None,False,False,True,False
Chief Financial Officer,11-3031.01,35.80000000000001,64.2,654790.0,147530.0,68370.0,92310.0,129890.0,181980.0,,Bachelor's degree,5 years or more,True,False,False,False
Chief of Staff,11-1021.92,54.1,45.9,2400280.0,123030.0,45050.0,65660.0,100780.0,157430.0,,Bachelor's degree,5 years or more,True,False,False,False
Cloud Product Manager,11-2021.92,30.3,69.8,263680.0,149200.0,71010.0,97710.0,136850.0,185320.0,,Bachelor's degree,5 years or more,True,False,False,False
Content Marketing Specialist,13-1161.00,19.6,80.4,678500.0,71570.0,34350.0,46800.0,63790.0,89580.0,122630.0,Bachelor's degree,None,False,True,False,False
Copywriter,27-3043.04,17.5,82.5,45860.0,73860.0,33660.0,46640.0,63200.0,87110.0,122450.0,Bachelor's degree,None,False,True,False,False
Event Marketing Manager,11-2021.91,30.3,69.8,263680.0,149200.0,71010.0,97710.0,136850.0,185320.0,,Bachelor's degree,5 years or more,True,False,False,False
Financial Planning Manager,11-3031.00,35.80000000000001,64.2,654790.0,147530.0,68370.0,92310.0,129890.0,181980.0,,Bachelor's degree,5 years or more,True,False,False,False
Graphic Designer / Desktop Publisher,27-1024.00,39.4,60.5,215930.0,56510.0,30810.0,39000.0,52110.0,68920.0,89210.0,Bachelor's degree,None,False,True,False,False
Healthcare Account Executive,43-6011.92,75.8,24.000000000000004,542690.0,62920.0,37890.0,48020.0,60890.0,75820.0,91330.0,High school diploma or equivalent,Less than 5 years,False,False,True,False
Industrial Designer,27-1021.92,39.4,60.5,32770.0,73820.0,39860.0,53270.0,68890.0,90980.0,114950.0,Bachelor's degree,None,False,True,False,False
Insurance Sales Agent (General),41-3021.00,51.5,48.4,410050.0,67780.0,28000.0,36520.0,50940.0,77460.0,125500.0,High school diploma or equivalent,None,False,False,True,False
Internal Auditor,13-2011.02,19.7,80.10000000000002,1280700.0,79520.0,44480.0,55900.0,71550.0,94340.0,124450.0,Bachelor's degree,None,False,True,False,False
Marketing Automation Manager,11-2021.91,30.3,69.8,263680.0,149200.0,71010.0,97710.0,136850.0,185320.0,,Bachelor's degree,5 years or more,True,False,False,False
Marketing Specialist,13-1161.00,19.6,80.4,678500.0,71570.0,34350.0,46800.0,63790.0,89580.0,122630.0,Bachelor's degree,None,False,True,False,False
Paralegal / Legal Assistant,23-2011.00,55.40000000000001,44.7,329870.0,55020.0,32160.0,39500.0,51740.0,65610.0,82500.0,Associate's degree,None,False,False,True,False
Printing Press Operator,51-5112.00,91.5,8.6,173430.0,39100.0,23830.0,28840.0,36910.0,47400.0,58740.0,High school diploma or equivalent,None,False,False,True,False
Product Designer,27-1021.92,39.4,60.5,32770.0,73820.0,39860.0,53270.0,68890.0,90980.0,114950.0,Bachelor's degree,None,False,True,False,False
Product Marketing Director,11-2021.91,30.3,69.8,263680.0,149200.0,71010.0,97710.0,136850.0,185320.0,,Bachelor's degree,5 years or more,True,False,False,False
Project / Program Administrative Assistant,43-6014.00,75.8,24.000000000000004,2038340.0,39180.0,24250.0,30100.0,37690.0,47510.0,57570.0,High school diploma or equivalent,None,False,False,True,False
Public Relations / Communications Specialist,27-3031.94,15.8,84.2,244730.0,70190.0,34590.0,45480.0,61150.0,83170.0,115430.0,Bachelor's degree,None,False,True,False,False
Retail Operations Supervisor,11-1021.91,54.1,45.9,2400280.0,123030.0,45050.0,65660.0,100780.0,157430.0,,Bachelor's degree,5 years or more,True,False,False,False
Sales Program Manager,41-1012.00,55.39999999999999,44.7,249090.0,86180.0,41780.0,55860.0,74760.0,103830.0,146740.0,High school diploma or equivalent,Less than 5 years,False,False,True,False
VP / Director of Finance,11-3031.01,35.80000000000001,64.2,654790.0,147530.0,68370.0,92310.0,129890.0,181980.0,,Bachelor's degree,5 years or more,True,False,False,False
"Administrator, Higher Education",11-9033.00,18.0,82.0,144880.0,112400.0,55320.0,70490.0,95410.0,135070.0,194090.0,Master's degree,Less than 5 years,False,True,False,False
Campus Recruiter,13-1071.91,37.3,62.7,633040.0,67760.0,37180.0,47450.0,61920.0,81430.0,105930.0,Bachelor's degree,None,False,True,False,False
Digital Marketing Analyst,13-1161.91,19.6,80.4,678500.0,71570.0,34350.0,46800.0,63790.0,89580.0,122630.0,Bachelor's degree,None,False,True,False,False
Director of Compensation / Benefits,11-3111.00,32.3,67.6,16900.0,134210.0,69870.0,91430.0,122270.0,163980.0,,Bachelor's degree,5 years or more,True,False,False,False
Director of Human Resources,11-3121.92,40.8,59.2,154800.0,129570.0,68300.0,88150.0,116720.0,156560.0,205720.0,Bachelor's degree,5 years or more,True,False,False,False
Director of Sales,11-2022.00,30.3,69.8,402600.0,141690.0,59810.0,85150.0,126640.0,177830.0,,Bachelor's degree,Less than 5 years,False,True,False,False
Field Marketing Manager,11-2021.91,30.3,69.8,263680.0,149200.0,71010.0,97710.0,136850.0,185320.0,,Bachelor's degree,5 years or more,True,False,False,False
Healthcare Administrator,11-9111.00,37.5,62.40000000000001,394910.0,115160.0,58820.0,76770.0,100980.0,133520.0,189000.0,Bachelor's degree,Less than 5 years,False,True,False,False
Manufacturing Machine Operator,51-9012.92,77.4,22.6,51160.0,45370.0,26710.0,32870.0,41330.0,55190.0,70800.0,High school diploma or equivalent,None,False,False,True,False
Marketing Analytics Manager,11-2021.91,30.3,69.8,263680.0,149200.0,71010.0,97710.0,136850.0,185320.0,,Bachelor's degree,5 years or more,True,False,False,False
Marketing Director,11-2021.91,30.3,69.8,263680.0,149200.0,71010.0,97710.0,136850.0,185320.0,,Bachelor's degree,5 years or more,True,False,False,False
Marketing Manager (General),11-2021.91,30.3,69.8,263680.0,149200.0,71010.0,97710.0,136850.0,185320.0,,Bachelor's degree,5 years or more,True,False,False,False
Media Planner / Buyer,27-3031.93,15.8,84.2,244730.0,70190.0,34590.0,45480.0,61150.0,83170.0,115430.0,Bachelor's degree,None,False,True,False,False
Operations Manager,11-1021.91,54.1,45.9,2400280.0,123030.0,45050.0,65660.0,100780.0,157430.0,,Bachelor's degree,5 years or more,True,False,False,False
Production Supervisor,51-1011.91,82.7,17.3,631100.0,65220.0,36740.0,47230.0,61310.0,78830.0,100200.0,High school diploma or equivalent,Less than 5 years,False,False,True,False
Production Worker,51-9199.00,92.9,7.1000000000000005,222230.0,33830.0,20320.0,24120.0,29800.0,39330.0,52820.0,High school diploma or equivalent,None,False,False,True,False
Sales Manager,11-2022.00,30.3,69.8,402600.0,141690.0,59810.0,85150.0,126640.0,177830.0,,Bachelor's degree,Less than 5 years,False,True,False,False
Sales Operations Manager,11-2022.00,30.3,69.8,402600.0,141690.0,59810.0,85150.0,126640.0,177830.0,,Bachelor's degree,Less than 5 years,False,True,False,False
Senior Compensation / Benefits Analyst,13-1141.00,45.6,54.5,89300.0,69840.0,40140.0,50000.0,64560.0,82920.0,105600.0,Bachelor's degree,Less than 5 years,False,True,False,False
Senior Operations Analyst,15-2031.00,24.4,75.8,99680.0,90600.0,48670.0,62780.0,84810.0,112680.0,140790.0,Bachelor's degree,None,False,True,False,False
Senior Payroll Specialist,43-3051.00,76.5,23.5,142700.0,47390.0,30320.0,37000.0,46180.0,57030.0,66210.0,High school diploma or equivalent,None,False,False,True,False
Territory / Regional Sales Representative,41-4011.00,51.0,49.0,306980.0,92980.0,41080.0,57050.0,81020.0,117560.0,158580.0,Bachelor's degree,None,False,False,True,False
Vice President of Engineering,11-9041.00,15.6,84.39999999999998,194250.0,152930.0,92510.0,115670.0,144830.0,179220.0,,Bachelor's degree,5 years or more,True,False,False,False
Life / Health Insurance Sales Agent,41-3021.00,51.5,48.4,410050.0,67780.0,28000.0,36520.0,50940.0,77460.0,125500.0,High school diploma or equivalent,None,False,False,True,False
Attorney,23-1011.00,1.7999999999999998,98.3,657170.0,145300.0,59670.0,80950.0,122960.0,186350.0,,Doctoral or professional degree,None,False,True,False,False
Email Marketing Specialist,13-1161.00,19.6,80.4,678500.0,71570.0,34350.0,46800.0,63790.0,89580.0,122630.0,Bachelor's degree,None,False,True,False,False
Claims Representative,43-9041.91,70.5,29.4,257000.0,43280.0,28380.0,34030.0,40750.0,50550.0,61910.0,High school diploma or equivalent,None,False,False,True,False
Collections Specialist,43-3011.00,80.69999999999997,19.4,235870.0,39300.0,25800.0,30740.0,37000.0,45840.0,56860.0,High school diploma or equivalent,None,False,False,True,False
Insurance Underwriter (General),13-2053.00,41.90000000000001,58.2,100050.0,77640.0,42360.0,53510.0,70020.0,94390.0,124320.0,Bachelor's degree,None,False,True,False,False
Loan Underwriter,13-2072.00,49.0,51.1,308370.0,76200.0,32560.0,44840.0,63270.0,92960.0,132680.0,Bachelor's degree,None,False,True,False,False
Mid-Market Account Executive,43-6011.92,75.8,24.000000000000004,542690.0,62920.0,37890.0,48020.0,60890.0,75820.0,91330.0,High school diploma or equivalent,Less than 5 years,False,False,True,False
Personal Financial Advisor (General),13-2052.00,19.5,80.5,210190.0,119290.0,42950.0,57780.0,87850.0,154480.0,,Bachelor's degree,None,False,True,False,False
Construction Manager,11-9021.00,66.5,33.599999999999994,293380.0,105000.0,56140.0,71900.0,95260.0,126040.0,164790.0,Bachelor's degree,None,False,False,True,False
Financial Planner / Investment Consultant,13-2052.00,19.5,80.5,210190.0,119290.0,42950.0,57780.0,87850.0,154480.0,,Bachelor's degree,None,False,True,False,False
Financial Services Manager,11-3031.00,35.80000000000001,64.2,654790.0,147530.0,68370.0,92310.0,129890.0,181980.0,,Bachelor's degree,5 years or more,True,False,False,False
HRIS Analyst / Specialist,13-1071.92,37.3,62.7,633040.0,67760.0,37180.0,47450.0,61920.0,81430.0,105930.0,Bachelor's degree,None,False,True,False,False
Sales Delivery Driver,53-3031.00,93.3,6.6000000000000005,444660.0,30230.0,18060.0,20040.0,25860.0,37500.0,48970.0,High school diploma or equivalent,None,False,False,True,False
